Country,Total in km2,Land in km2,Water in km2,Water %,HDI,%HDI Growth,IMF Forecast GDP(Nominal),World Bank Forecast GDP(Nominal),UN Forecast GDP(Nominal),IMF Forecast GDP(PPP),World Bank Forecast GDP(PPP),CIA Forecast GDP(PPP),Internet Users,UN Continental Region,UN Statistical Subregion,Population 2022,Population 2023,Population %Change
Russia,17098246.0,16378410.0,16378410.0,4.2,0.822,0.29,1862470.0,2240422.0,1778782.0,5056479.0,5326855.0,3875690.0,129800000.0,Europe,Eastern Europe,144713314.0,144444359.0,-0.19
Canada,9984670.0,9093507.0,9093507.0,8.9,0.936,0.25,2117805.0,2139840.0,1988336.0,2378973.0,2273489.0,1742790.0,33950632.0,Americas,Northern America,38454327.0,38781292.0,0.85
Brazil,8510346.0,8460415.0,8460415.0,0.6,0.754,0.38,2126809.0,1920096.0,1608981.0,4101022.0,3837261.0,2989430.0,165300000.0,Americas,South America,215313498.0,216422446.0,0.52
India,3287263.0,2973190.0,2973190.0,9.6,0.633,0.88,3732224.0,3385090.0,3201471.0,13119622.0,11874583.0,8443360.0,881250000.0,Asia,Southern Asia,1417173173.0,1428627663.0,0.81
Argentina,2796427.0,2736690.0,2736690.0,1.6,0.842,0.09,621833.0,632770.0,487227.0,1239515.0,1225435.0,893310.0,40024673.0,Americas,South America,45510318.0,45773884.0,0.58
Kazakhstan,2724910.0,2699700.0,2699700.0,0.9,0.811,0.51,259292.0,220623.0,193018.0,654050.0,604551.0,475180.0,13913699.0,Asia,Central Asia,19397998.0,19606634.0,1.08
Algeria,2381741.0,2381741.0,2381741.0,0.0,0.745,0.3,224107.0,191913.0,163473.0,628990.0,593153.0,468400.0,26350000.0,Africa,Northern Africa,44903225.0,45606481.0,1.57
Mexico,1964375.0,1943945.0,1943945.0,1.0,0.758,0.15,1811468.0,1414187.0,1272839.0,3277601.0,2742903.0,2306320.0,96800000.0,Americas,Central America,127504126.0,128455567.0,0.75
Indonesia,1910931.0,1811569.0,1811569.0,4.9,0.705,0.55,1417387.0,1319100.0,1186093.0,4393370.0,4036901.0,3130470.0,215626156.0,Asia,South-eastern Asia,275501339.0,277534123.0,0.74
Sudan,1861484.0,1731671.0,1731671.0,7.0,0.508,0.4,25569.0,51662.0,35867.0,172651.0,189393.0,176400.0,12512639.0,Africa,Northern Africa,46874204.0,48109006.0,2.63
Libya,1676198.0,1759540.0,1759540.0,0.0,0.718,0.26,40194.0,45752.0,39006.0,166887.0,162528.0,70650.0,1387116.0,Africa,Northern Africa,6812341.0,6888388.0,1.12
Iran,1648195.0,1531595.0,1531595.0,7.1,0.774,0.35,366438.0,388544.0,594892.0,1725874.0,1600556.0,1044310.0,78086663.0,Asia,Southern Asia,88550570.0,89172767.0,0.7
Mongolia,1564116.0,1553556.0,1553556.0,0.7,0.739,0.48,18782.0,16811.0,15098.0,52989.0,42824.0,37600.0,729236.0,Asia,Eastern Asia,3398366.0,3447157.0,1.44
Peru,1285216.0,1279996.0,1279996.0,0.4,0.762,0.45,264636.0,242632.0,223252.0,548465.0,512362.0,371290.0,15674241.0,Americas,South America,34049589.0,34352719.0,0.89
Chad,1284000.0,1259200.0,1259200.0,1.9,0.394,0.77,12596.0,12704.0,16410.0,32375.0,26904.0,24970.0,968500.0,Africa,Middle Africa,17723315.0,18278568.0,3.13
Niger,1267000.0,1266700.0,1266700.0,0.0,0.4,1.54,17073.0,13970.0,14915.0,42739.0,32917.0,28970.0,2194985.0,Africa,Western Africa,26207977.0,27202843.0,3.8
Angola,1246700.0,1246700.0,1246700.0,0.0,0.586,1.27,93796.0,106714.0,70533.0,260323.0,223319.0,203710.0,4271053.0,Africa,Middle Africa,35588987.0,36684203.0,3.08
Mali,1240192.0,1220190.0,1220190.0,1.6,0.428,0.53,21309.0,18827.0,19157.0,61625.0,51041.0,44890.0,2358540.0,Africa,Western Africa,22593591.0,23293699.0,3.1
South Africa,1221037.0,1214470.0,1214470.0,0.4,0.713,0.5,380906.0,405870.0,419016.0,997444.0,952603.0,680040.0,31858027.0,Africa,Southern Africa,59893886.0,60414495.0,0.87
Colombia,1141748.0,1038700.0,1038700.0,8.8,0.752,0.32,363835.0,343939.0,314464.0,1016124.0,1052389.0,683940.0,30548252.0,Americas,South America,51874024.0,52085168.0,0.41
Ethiopia,1104300.0,1096630.0,1096630.0,0.7,0.498,1.74,155804.0,126783.0,99269.0,393297.0,346893.0,264050.0,19543075.0,Africa,Eastern Africa,123379925.0,126527060.0,2.55
Bolivia,1098581.0,1083301.0,1083301.0,1.4,0.692,0.4,46796.0,43069.0,40408.0,125428.0,106856.0,92590.0,4843916.0,Americas,South America,12224110.0,12388571.0,1.35
Mauritania,1030700.0,1025520.0,1025520.0,0.4,0.556,0.79,10357.0,10375.0,9996.0,33414.0,26702.0,23170.0,919398.0,Africa,Western Africa,4736139.0,4862989.0,2.68
Egypt,1002000.0,995450.0,995450.0,0.6,0.731,0.73,398397.0,476748.0,425906.0,1809425.0,1674951.0,1223040.0,80750000.0,Africa,Northern Africa,110990103.0,112716599.0,1.56
Venezuela,912050.0,882050.0,882050.0,3.3,0.691,0.8,92210.0,,2021.0,211926.0,506339.0,269068.0,20564451.0,Americas,South America,28301696.0,28838499.0,1.9
Pakistan,881913.0,856690.0,856690.0,2.9,0.544,0.68,340636.0,376533.0,342501.0,1568427.0,1518100.0,1020000.0,130000000.0,Asia,Southern Asia,235824862.0,240485658.0,1.98
Namibia,825615.0,823290.0,823290.0,0.3,0.615,0.46,12647.0,12607.0,12236.0,30663.0,25369.0,22600.0,933450.0,Africa,Southern Africa,2567013.0,2604172.0,1.45
Mozambique,801590.0,786380.0,786380.0,1.6,0.446,0.95,21936.0,17851.0,15777.0,53710.0,43172.0,38420.0,6162217.0,Africa,Eastern Africa,32969519.0,33897354.0,2.81
Turkey,783562.0,769632.0,769632.0,1.8,0.838,1.03,1154600.0,905988.0,819034.0,3613540.0,3180984.0,2393960.0,74278491.0,Asia,Western Asia,85341241.0,85816199.0,0.56
Chile,756102.0,743812.0,743812.0,1.6,0.855,0.46,344400.0,301025.0,317059.0,597520.0,592205.0,445880.0,14864456.0,Americas,South America,19603733.0,19629590.0,0.13
Zambia,752612.0,743398.0,743398.0,1.2,0.565,0.6,29536.0,29784.0,21313.0,83687.0,68566.0,60120.0,4760715.0,Africa,Eastern Africa,20017675.0,20569738.0,2.76
Myanmar,676577.0,653508.0,653508.0,3.4,0.585,1.26,74861.0,59364.0,58582.0,277767.0,238129.0,247240.0,23650000.0,Asia,South-eastern Asia,54179306.0,54577997.0,0.74
Afghanistan,652867.0,652867.0,652867.0,0.0,0.478,0.59,,14939.0,,,2020.0,2020.0,4068194.0,Asia,Southern Asia,41128771.0,42239854.0,2.7
South Sudan,644329.0,644329.0,644329.0,0.0,0.385,1.0,6267.0,,2021.0,7143.0,13231.0,20010.0,1003542.0,Africa,Eastern Africa,10913164.0,11088796.0,1.61
